"filename", "language", "JavaScript", "JavaScript React", "JSON", "CSS", "comment", "blank", "total"
"/Users/clifford/Codings/winda-test/components/Activities/Listing.jsx", "JavaScript React", 0, 54, 0, 0, 0, 8, 62
"/Users/clifford/Codings/winda-test/components/Activities/Listings.jsx", "JavaScript React", 0, 52, 0, 0, 0, 5, 57
"/Users/clifford/Codings/winda-test/components/Activities/Map.jsx", "JavaScript React", 0, -1, 0, 0, 0, 0, -1
"/Users/clifford/Codings/winda-test/components/Activities/MapMakers.jsx", "JavaScript React", 0, -39, 0, 0, 0, -5, -44
"/Users/clifford/Codings/winda-test/components/Activities/MobileSearchModal.jsx", "JavaScript React", 0, 150, 0, 0, 0, 16, 166
"/Users/clifford/Codings/winda-test/components/Cart/CartItem.jsx", "JavaScript React", 0, 5, 0, 0, 62, 9, 76
"/Users/clifford/Codings/winda-test/components/CreateStay/Amenities.jsx", "JavaScript React", 0, -18, 0, 0, 0, -4, -22
"/Users/clifford/Codings/winda-test/components/CreateStay/AmenitiesOptions.jsx", "JavaScript React", 0, -64, 0, 0, 0, -8, -72
"/Users/clifford/Codings/winda-test/components/CreateStay/BoutiqueHotelOptions.jsx", "JavaScript React", 0, -46, 0, 0, 0, -9, -55
"/Users/clifford/Codings/winda-test/components/CreateStay/CampsiteOptions.jsx", "JavaScript React", 0, -47, 0, 0, 0, -8, -55
"/Users/clifford/Codings/winda-test/components/CreateStay/CreateStay.jsx", "JavaScript React", 0, -40, 0, 0, 0, -4, -44
"/Users/clifford/Codings/winda-test/components/CreateStay/DescribeStay.jsx", "JavaScript React", 0, -54, 0, 0, 0, -5, -59
"/Users/clifford/Codings/winda-test/components/CreateStay/DescriptionAboutPlace.jsx", "JavaScript React", 0, -38, 0, 0, -5, -10, -53
"/Users/clifford/Codings/winda-test/components/CreateStay/Details.jsx", "JavaScript React", 0, -169, 0, 0, -5, -11, -185
"/Users/clifford/Codings/winda-test/components/CreateStay/HouseOptions.jsx", "JavaScript React", 0, -54, 0, 0, 0, -9, -63
"/Users/clifford/Codings/winda-test/components/CreateStay/ImageThumb.jsx", "JavaScript React", 0, -48, 0, 0, 0, -3, -51
"/Users/clifford/Codings/winda-test/components/CreateStay/ImageUpload.jsx", "JavaScript React", 0, -23, 0, 0, -68, -8, -99
"/Users/clifford/Codings/winda-test/components/CreateStay/Location.jsx", "JavaScript React", 0, -129, 0, 0, 0, -11, -140
"/Users/clifford/Codings/winda-test/components/CreateStay/LodgeOptions.jsx", "JavaScript React", 0, -46, 0, 0, 0, -8, -54
"/Users/clifford/Codings/winda-test/components/CreateStay/Map.jsx", "JavaScript React", 0, -59, 0, 0, -2, -8, -69
"/Users/clifford/Codings/winda-test/components/CreateStay/Pricing.jsx", "JavaScript React", 0, -136, 0, 0, 0, -7, -143
"/Users/clifford/Codings/winda-test/components/CreateStay/Rooms.jsx", "JavaScript React", 0, -37, 0, 0, 0, -4, -41
"/Users/clifford/Codings/winda-test/components/CreateStay/Stay.jsx", "JavaScript React", 0, -183, 0, 0, 0, -13, -196
"/Users/clifford/Codings/winda-test/components/CreateStay/TypeOfStay.jsx", "JavaScript React", 0, -107, 0, 0, 0, -7, -114
"/Users/clifford/Codings/winda-test/components/CreateStay/UniqueAboutPlace.jsx", "JavaScript React", 0, -36, 0, 0, -5, -10, -51
"/Users/clifford/Codings/winda-test/components/CreateStay/UniqueSpaceOptions.jsx", "JavaScript React", 0, -53, 0, 0, 0, -7, -60
"/Users/clifford/Codings/winda-test/components/Home/ActivitiesSearch.jsx", "JavaScript React", 0, -37, 0, 0, 39, 0, 2
"/Users/clifford/Codings/winda-test/components/Home/Dialogue.jsx", "JavaScript React", 0, 75, 0, 0, 0, 5, 80
"/Users/clifford/Codings/winda-test/components/Home/Guest.jsx", "JavaScript React", 0, -14, 0, 0, 0, 1, -13
"/Users/clifford/Codings/winda-test/components/Home/Main.jsx", "JavaScript React", 0, 825, 0, 0, 0, 71, 896
"/Users/clifford/Codings/winda-test/components/Home/Search.jsx", "JavaScript React", 0, -73, 0, 0, 67, 2, -4
"/Users/clifford/Codings/winda-test/components/Home/SearchSelect.jsx", "JavaScript React", 0, 24, 0, 0, 0, 1, 25
"/Users/clifford/Codings/winda-test/components/Home/TeamExperience.jsx", "JavaScript React", 0, -47, 0, 0, -3, -3, -53
"/Users/clifford/Codings/winda-test/components/Home/TransportSearch.jsx", "JavaScript React", 0, -40, 0, 0, 0, 0, -40
"/Users/clifford/Codings/winda-test/components/Home/UserDropdown.jsx", "JavaScript React", 0, 25, 0, 0, 0, 3, 28
"/Users/clifford/Codings/winda-test/components/Lodging/Amenities.jsx", "JavaScript React", 0, 3, 0, 0, 0, 0, 3
"/Users/clifford/Codings/winda-test/components/Lodging/Listing.jsx", "JavaScript React", 0, 91, 0, 0, -21, 5, 75
"/Users/clifford/Codings/winda-test/components/Lodging/Listings.jsx", "JavaScript React", 0, 52, 0, 0, 1, 6, 59
"/Users/clifford/Codings/winda-test/components/Lodging/Map.jsx", "JavaScript React", 0, -1, 0, 0, 1, 0, 0
"/Users/clifford/Codings/winda-test/components/Lodging/MapMakerPopup.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 14
"/Users/clifford/Codings/winda-test/components/Lodging/MapMakers.jsx", "JavaScript React", 0, -5, 0, 0, 0, -3, -8
"/Users/clifford/Codings/winda-test/components/Lodging/MobileStayTypes.jsx", "JavaScript React", 0, 24, 0, 0, 0, 0, 24
"/Users/clifford/Codings/winda-test/components/Lodging/Navbar.jsx", "JavaScript React", 0, -9, 0, 0, 56, 2, 49
"/Users/clifford/Codings/winda-test/components/Login/LoginForm.jsx", "JavaScript React", 0, -17, 0, 0, 46, 3, 32
"/Users/clifford/Codings/winda-test/components/Order/Destination.jsx", "JavaScript React", 0, -78, 0, 0, -12, -3, -93
"/Users/clifford/Codings/winda-test/components/Order/ImageGallery.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 15
"/Users/clifford/Codings/winda-test/components/Order/Map.jsx", "JavaScript React", 0, -190, 0, 0, -143, -29, -362
"/Users/clifford/Codings/winda-test/components/Order/OrderCard.jsx", "JavaScript React", 0, 187, 0, 0, 11, 7, 205
"/Users/clifford/Codings/winda-test/components/Order/Trip.jsx", "JavaScript React", 0, 748, 0, 0, 417, 113, 1278
"/Users/clifford/Codings/winda-test/components/Order/TripTransportCard.jsx", "JavaScript React", 0, -1, 0, 0, 3, 0, 2
"/Users/clifford/Codings/winda-test/components/SavedListings/Listing.jsx", "JavaScript React", 0, 287, 0, 0, 0, 14, 301
"/Users/clifford/Codings/winda-test/components/Signup/SignupForm.jsx", "JavaScript React", 0, -20, 0, 0, 43, 1, 24
"/Users/clifford/Codings/winda-test/components/Stay/Amenities.jsx", "JavaScript React", 0, 49, 0, 0, 0, 7, 56
"/Users/clifford/Codings/winda-test/components/Stay/ImageGallery.jsx", "JavaScript React", 0, 1, 0, 0, 0, 1, 2
"/Users/clifford/Codings/winda-test/components/Stay/Map.jsx", "JavaScript React", 0, 5, 0, 0, 0, 0, 5
"/Users/clifford/Codings/winda-test/components/Stay/MobileSearchModal.jsx", "JavaScript React", 0, -46, 0, 0, 31, -3, -18
"/Users/clifford/Codings/winda-test/components/Stay/Navbar.jsx", "JavaScript React", 0, 6, 0, 0, 56, 1, 63
"/Users/clifford/Codings/winda-test/components/Stay/ReviewOverview.jsx", "JavaScript React", 0, 42, 0, 0, 0, 5, 47
"/Users/clifford/Codings/winda-test/components/Stay/Reviews.jsx", "JavaScript React", 0, -25, 0, 0, 0, -1, -26
"/Users/clifford/Codings/winda-test/components/Stay/ScrollTo.jsx", "JavaScript React", 0, 11, 0, 0, 0, 2, 13
"/Users/clifford/Codings/winda-test/components/Stay/Share.jsx", "JavaScript React", 0, -9, 0, 0, 0, 0, -9
"/Users/clifford/Codings/winda-test/components/Transport/FilterTags.jsx", "JavaScript React", 0, 15, 0, 0, 0, 3, 18
"/Users/clifford/Codings/winda-test/components/Transport/Listing.jsx", "JavaScript React", 0, 181, 0, 0, 41, 18, 240
"/Users/clifford/Codings/winda-test/components/Transport/Listings.jsx", "JavaScript React", 0, 10, 0, 0, 0, -1, 9
"/Users/clifford/Codings/winda-test/components/Transport/MobileSearchModal.jsx", "JavaScript React", 0, 184, 0, 0, 0, 19, 203
"/Users/clifford/Codings/winda-test/components/Transport/MobileTransportTypes.jsx", "JavaScript React", 0, 18, 0, 0, 0, 2, 20
"/Users/clifford/Codings/winda-test/components/Transport/ScrollTo.jsx", "JavaScript React", 0, -16, 0, 0, 0, -1, -17
"/Users/clifford/Codings/winda-test/components/Trip/Card.jsx", "JavaScript React", 0, 59, 0, 0, 0, -1, 58
"/Users/clifford/Codings/winda-test/components/Trip/DaysAccordion.jsx", "JavaScript React", 0, 24, 0, 0, 0, 4, 28
"/Users/clifford/Codings/winda-test/components/Trip/ImageGallery.jsx", "JavaScript React", 0, 124, 0, 0, 0, 9, 133
"/Users/clifford/Codings/winda-test/components/Trip/Map.jsx", "JavaScript React", 0, 73, 0, 0, 0, 10, 83
"/Users/clifford/Codings/winda-test/components/Trip/Search.jsx", "JavaScript React", 0, 8, 0, 0, 3, 0, 11
"/Users/clifford/Codings/winda-test/components/Trip/SingleTrip.jsx", "JavaScript React", 0, 115, 0, 0, 0, 13, 128
"/Users/clifford/Codings/winda-test/components/Trip/Tags.jsx", "JavaScript React", 0, -77, 0, 0, 2, -9, -84
"/Users/clifford/Codings/winda-test/components/Trip/Trips.jsx", "JavaScript React", 0, 17, 0, 0, 0, 1, 18
"/Users/clifford/Codings/winda-test/components/ui/Accordion.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 13
"/Users/clifford/Codings/winda-test/components/ui/Carousel.jsx", "JavaScript React", 0, 5, 0, 0, 0, 0, 5
"/Users/clifford/Codings/winda-test/components/ui/DatePicker.jsx", "JavaScript React", 0, -1, 0, 0, 0, 0, -1
"/Users/clifford/Codings/winda-test/components/ui/Dropdown.jsx", "JavaScript React", 0, 2, 0, 0, 0, 0, 2
"/Users/clifford/Codings/winda-test/components/ui/Popover.jsx", "JavaScript React", 0, 35, 0, 0, 0, 5, 40
"/Users/clifford/Codings/winda-test/components/ui/ReverseStarRating.jsx", "JavaScript React", 0, 28, 0, 0, 0, 4, 32
"/Users/clifford/Codings/winda-test/components/ui/SecondCard.jsx", "JavaScript React", 0, 1, 0, 0, 0, 0, 1
"/Users/clifford/Codings/winda-test/components/ui/TopTooltip.jsx", "JavaScript React", 0, 2, 0, 0, 1, 0, 3
"/Users/clifford/Codings/winda-test/lib/getItemsInBasket.js", "JavaScript", 4, 0, 0, 0, 0, 0, 4
"/Users/clifford/Codings/winda-test/lib/getTotalCartPrice.js", "JavaScript", 100, 0, 0, 0, 0, 14, 114
"/Users/clifford/Codings/winda-test/lib/pricePlan.js", "JavaScript", 381, 0, 0, 0, 0, 11, 392
"/Users/clifford/Codings/winda-test/lib/socialSignin.js", "JavaScript", 9, 0, 0, 0, 0, 3, 12
"/Users/clifford/Codings/winda-test/lib/url.js", "JavaScript", 18, 0, 0, 0, 0, 0, 18
"/Users/clifford/Codings/winda-test/next.config.js", "JavaScript", -6, 0, 0, 0, 0, 0, -6
"/Users/clifford/Codings/winda-test/package-lock.json", "JSON", 0, 0, 100, 0, 0, 0, 100
"/Users/clifford/Codings/winda-test/package.json", "JSON", 0, 0, 6, 0, 0, 0, 6
"/Users/clifford/Codings/winda-test/pages/_app.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"/Users/clifford/Codings/winda-test/pages/accounts/email-confirm/[email]/index.jsx", "JavaScript React", 0, 161, 0, 0, 0, 18, 179
"/Users/clifford/Codings/winda-test/pages/accounts/email-verification/[verification_slug]/index.jsx", "JavaScript React", 0, 64, 0, 0, 28, 10, 102
"/Users/clifford/Codings/winda-test/pages/cart/index.jsx", "JavaScript React", 0, -11, 0, 0, 1, 2, -8
"/Users/clifford/Codings/winda-test/pages/create-stay/index.jsx", "JavaScript React", 0, -10, 0, 0, 0, -3, -13
"/Users/clifford/Codings/winda-test/pages/activities/[slug].jsx", "JavaScript React", 0, 240, 0, 0, 106, 14, 360
"/Users/clifford/Codings/winda-test/pages/activities/index.jsx", "JavaScript React", 0, 408, 0, 0, 524, 15, 947
"/Users/clifford/Codings/winda-test/pages/index.jsx", "JavaScript React", 0, -12, 0, 0, 9, 6, 3
"/Users/clifford/Codings/winda-test/pages/orders/index.jsx", "JavaScript React", 0, -1064, 0, 0, -389, -100, -1553
"/Users/clifford/Codings/winda-test/pages/saved-listings/index.jsx", "JavaScript React", 0, 330, 0, 0, 0, 19, 349
"/Users/clifford/Codings/winda-test/pages/stays/[slug].jsx", "JavaScript React", 0, 590, 0, 0, 80, 66, 736
"/Users/clifford/Codings/winda-test/pages/stays/index.jsx", "JavaScript React", 0, 570, 0, 0, 52, 17, 639
"/Users/clifford/Codings/winda-test/pages/transport/[slug].jsx", "JavaScript React", 0, -320, 0, 0, 334, 5, 19
"/Users/clifford/Codings/winda-test/pages/transport/index.jsx", "JavaScript React", 0, 445, 0, 0, 368, 53, 866
"/Users/clifford/Codings/winda-test/pages/trip/[slug]/index.jsx", "JavaScript React", 0, 1568, 0, 0, 10, 126, 1704
"/Users/clifford/Codings/winda-test/pages/trip/index.jsx", "JavaScript React", 0, 601, 0, 0, 280, 56, 937
"/Users/clifford/Codings/winda-test/pages/trip/plan/[slug]/index.jsx", "JavaScript React", 0, 1371, 0, 0, 325, 104, 1800
"/Users/clifford/Codings/winda-test/pages/trip/plan/index.jsx", "JavaScript React", 0, -1918, 0, 0, -2, -95, -2015
"/Users/clifford/Codings/winda-test/pages/trip/stays/index.jsx", "JavaScript React", 0, -295, 0, 0, -226, -42, -563
"/Users/clifford/Codings/winda-test/redux/actions/auth.js", "JavaScript", 110, 0, 0, 0, 4, 5, 119
"/Users/clifford/Codings/winda-test/redux/actions/stay.js", "JavaScript", -3, 0, 0, 0, 0, -1, -4
"/Users/clifford/Codings/winda-test/redux/reducers/stay.js", "JavaScript", -3, 0, 0, 0, 0, -1, -4
"/Users/clifford/Codings/winda-test/styles/globals.css", "CSS", 0, 0, 0, 6, 0, 2, 8
"/Users/clifford/Codings/winda-test/tailwind.config.js", "JavaScript", 3, 0, 0, 0, 0, 1, 4
"Total", "-", 618, 4244, 106, 6, 2120, 468, 7562
